model,carrier,p_min_pu,committable,min_up_time,min_down_time,up_time_before,down_time_before,ramp_limit_up,ramp_limit_down,ramp_limit_start_up,ramp_limit_shut_down,lifetime,efficiency
default_biomass,biomass,0,TRUE,1,0,1,0,nan,nan,nan,nan,20,0.25
default_biogas,biogas,0,TRUE,1,0,1,0,nan,nan,nan,nan,20,0.25
coal_IGCC,coal,0.4,TRUE,8,4,8,4,0.4,0.4,0.4,0.4,50,0.41
coal_pulverized,coal,0.4,TRUE,8,4,8,4,0.4,0.4,0.4,0.4,50,0.41
default_diesel,diesel,0.3,TRUE,0,0,1,0,nan,nan,nan,nan,25,0.3
gas_CC,gas,0.55,TRUE,2,1,2,1,nan,nan,nan,nan,25,0.55
gas_CT,gas,0.45,TRUE,0,0,1,0,nan,nan,nan,nan,25,0.35
hydro_ror,hydro,0,TRUE,0,0,1,0,nan,nan,nan,nan,100,1
import,import,0,FALSE,0,0,1,0,nan,nan,nan,nan,inf,1
default_nuclear,nuclear,0.6,TRUE,0,40,1,40,nan,nan,0.6,0.6,30,0.33
default_SMR,nuclear,0,TRUE,0,0,1,0,nan,nan,nan,nan,30,0.37
default_oil,oil,0.3,TRUE,0,0,1,0,nan,nan,nan,nan,40,0.3
default_solar_PV,solar,0,FALSE,0,0,1,0,nan,nan,nan,nan,30,1
wind_2021,wind,0,FALSE,0,0,1,0,nan,nan,nan,nan,25,0.86
wind_new,wind,0,FALSE,0,0,1,0,nan,nan,nan,nan,30,0.86
wind_offshore_fixed,wind_offshore,0,FALSE,0,0,1,0,nan,nan,nan,nan,30,1
wind_offshore_floating,wind_offshore,0,FALSE,0,0,1,0,nan,nan,nan,nan,30,1
load_non_commitable,Load,0,FALSE,0,0,1,0,nan,nan,nan,nan,inf,1
load_commitable,Load,0,TRUE,0,0,1,0,nan,nan,nan,nan,inf,1
