name,bus0,bus1,length,p_nom,p_min_pu,efficiency,build_year,lifetime,p_nom_extendable,capital_cost,carrier,committable
BC_South->BC_North,BC_South,BC_North,579.405,8325,-1,1,1,inf,FALSE,0,DC,FALSE
BC_South->AB_South,BC_South,AB_South,889.942,1200,-0.833333333,1,1,inf,FALSE,0,DC,FALSE
AB_South->AB_Central,AB_South,AB_Central,281.85,4565,-1,1,1,inf,FALSE,0,DC,FALSE
AB_Central->AB_North,AB_Central,AB_North,437,3588,-1,1,1,inf,FALSE,0,DC,FALSE
AB_South->SK,AB_South,SK,812.85,150,-1,1,1,inf,FALSE,0,DC,FALSE
SK->MB,SK,MB,655.31,75,-4.333333333,1,1,inf,FALSE,0,DC,FALSE
MB->ON_Northwest,MB,ON_Northwest,731.762,235,-1,1,1,inf,FALSE,0,DC,FALSE
ON_Northwest->ON_North,ON_Northwest,ON_North,649.2,475,-1.031578947,1,1,inf,FALSE,0,DC,FALSE
ON_North->ON_East,ON_North,ON_East,307,2150,-0.911627907,1,1,inf,FALSE,0,DC,FALSE
ON_South->ON_East,ON_South,ON_East,152.5,3855,-1,1,1,inf,FALSE,0,DC,FALSE
ON_East->QC_South,ON_East,QC_South,575.6,1820,-1.214285714,1,1,inf,FALSE,0,DC,FALSE
ON_Toronto->ON_East,ON_Toronto,ON_East,90.5,3100,-1,1,1,inf,FALSE,0,DC,FALSE
ON_South->ON_Toronto,ON_South,ON_Toronto,95,2044,-1,1,1,inf,FALSE,0,DC,FALSE
QC_South->QC_North,QC_South,QC_North,720.48,4800,-1,1,1,inf,FALSE,0,DC,FALSE
QC_South->QC_Central,QC_South,QC_Central,526.665,8586,-1,1,1,inf,FALSE,0,DC,FALSE
QC_South->QC_East,QC_South,QC_East,291.48,7200,-1,1,1,inf,FALSE,0,DC,FALSE
QC_North->QC_Central,QC_North,QC_Central,854.22,4800,-1,1,1,inf,FALSE,0,DC,FALSE
QC_North->QC_East,QC_North,QC_East,638.4839,2000,0,1,1,inf,FALSE,0,DC,FALSE
QC_Central->QC_East,QC_Central,QC_East,217.74,10270,-1,1,1,inf,FALSE,0,DC,FALSE
QC_East->NB_West,QC_East,NB_West,616.9,738,-1,1,1,inf,FALSE,0,DC,FALSE
NB_West->NB_East,NB_West,NB_East,219,2391,-1,1,1,inf,FALSE,0,DC,FALSE
NB_East->PE,NB_East,PE,80.8,300,-1,1,1,inf,FALSE,0,DC,FALSE
