name,bus,p_nom,model,max_hours,state_of_charge_initial,p_nom_extendable,build_year,spill_cost,lifetime
AB_Central_daily,AB_Central,482.0,hydro_storage,24,482.0,False,0,1e-05,
AB_South_daily,AB_South,299.0,hydro_storage,24,299.0,False,0,1e-05,
BC_North_daily,BC_North,45.2,hydro_storage,24,45.2,False,0,1e-05,
BC_North_monthly,BC_North,5778.0,hydro_storage,744,5778.0,False,0,1e-05,
BC_South_daily,BC_South,4633.29,hydro_storage,24,4633.29,False,0,1e-05,
BC_South_monthly,BC_South,5471.0,hydro_storage,744,5471.0,False,0,1e-05,
MB_daily,MB,1312.0,hydro_storage,24,1312.0,False,0,1e-05,
MB_monthly,MB,4648.0,hydro_storage,744,4648.0,False,0,1e-05,
NB_West_daily,NB_West,898.0,hydro_storage,24,898.0,False,0,1e-05,
NL_Labrador_monthly,NL_Labrador,6251.95,hydro_storage,744,6251.95,False,0,1e-05,
NL_Newfoundland_daily,NL_Newfoundland,487.77,hydro_storage,24,487.77,False,0,1e-05,
NL_Newfoundland_monthly,NL_Newfoundland,737.4,hydro_storage,744,737.4,False,0,1e-05,
NS_East_daily,NS_East,219.3,hydro_storage,24,219.3,False,0,1e-05,
NS_West_daily,NS_West,157.35,hydro_storage,24,157.35,False,0,1e-05,
ON_East_daily,ON_East,1116.0,hydro_storage,24,1116.0,False,0,1e-05,
ON_North_daily,ON_North,2772.96,hydro_storage,24,2772.96,False,0,1e-05,
ON_Northwest_daily,ON_Northwest,203.0,hydro_storage,24,203.0,False,0,1e-05,
ON_South_daily,ON_South,144.0,hydro_storage,24,144.0,False,0,1e-05,
QC_Central_daily,QC_Central,9935.5,hydro_storage,24,9935.5,False,0,1e-05,
QC_Central_monthly,QC_Central,7566.0,hydro_storage,744,7566.0,False,0,1e-05,
QC_North_daily,QC_North,885.0,hydro_storage,24,885.0,False,0,1e-05,
QC_North_monthly,QC_North,17016.0,hydro_storage,744,17016.0,False,0,1e-05,
QC_South_daily,QC_South,384.0,hydro_storage,24,384.0,False,0,1e-05,
QC_South_monthly,QC_South,55.0,hydro_storage,744,55.0,False,0,1e-05,
SK_daily,SK,850.0,hydro_storage,24,850.0,False,0,1e-05,
903_battery,ON_North,5,default_liion_battery,3.8,0,False,2026,1e-05,25.0
