,BUS_1 Load,BUS_2 Load,BUS_3 Load,BUS_4 Load,BUS_5 Load
2021-01-01 0:00,50.73333333,0,0,50,220
2021-01-01 1:00,62.16666667,10,0,50,220
2021-01-01 2:00,66.16666667,85,0,50,220
2021-01-01 3:00,60.76666667,30,0,50,220
2021-01-01 4:00,66.16666667,210,0,50,220
2021-01-01 5:00,50.03333333,220,0,50,220
2021-01-01 6:00,64.26666667,105,0,50,220
2021-01-01 7:00,59.06666667,215,0,50,220
2021-01-01 8:00,59.53333333,25,100,75,280
2021-01-01 9:00,51.06666667,80,100,75,280
2021-01-01 10:00,51.13333333,35,100,75,280
2021-01-01 11:00,58.1,165,100,75,280
2021-01-01 12:00,52,160,100,75,280
2021-01-01 13:00,63.93333333,110,100,75,280
2021-01-01 14:00,52.7,25,100,75,280
2021-01-01 15:00,65.9,55,100,75,280
2021-01-01 16:00,53.46666667,210,100,75,280
2021-01-01 17:00,61.06666667,160,100,75,280
2021-01-01 18:00,54.8,140,100,50,280
2021-01-01 19:00,65.76666667,175,100,50,280
2021-01-01 20:00,60.7,25,100,50,280
2021-01-01 21:00,64.26666667,80,100,50,280
2021-01-01 22:00,50.3,245,100,50,280
2021-01-01 23:00,58.63333333,240,100,50,280
2021-01-02 0:00,53.56666667,225,0,50,220
2021-01-02 1:00,51.56666667,215,0,50,220
2021-01-02 2:00,62.36666667,45,0,50,220
2021-01-02 3:00,52.93333333,220,0,50,220
2021-01-02 4:00,56.4,55,0,50,220
2021-01-02 5:00,51.8,95,0,50,220
2021-01-02 6:00,50.93333333,170,0,50,220
2021-01-02 7:00,50.6,240,0,50,220
2021-01-02 8:00,51.86666667,155,100,75,280
2021-01-02 9:00,63.53333333,35,100,75,280
2021-01-02 10:00,55.36666667,40,100,75,280
2021-01-02 11:00,63.43333333,60,100,75,280
2021-01-02 12:00,55.6,200,100,75,280
2021-01-02 13:00,58.2,240,100,75,280
2021-01-02 14:00,54.8,165,100,75,280
2021-01-02 15:00,59.86666667,90,100,75,280
2021-01-02 16:00,60.03333333,170,100,75,280
2021-01-02 17:00,59.73333333,55,100,75,280
2021-01-02 18:00,54.33333333,215,100,50,280
2021-01-02 19:00,60.76666667,40,100,50,280
2021-01-02 20:00,59.43333333,115,100,50,280
2021-01-02 21:00,59.3,70,100,50,280
2021-01-02 22:00,50.2,140,100,50,280
2021-01-02 23:00,55.13333333,5,100,50,280
2021-01-03 0:00,65.8,100,0,50,220
2021-01-03 1:00,55.56666667,80,0,50,220
2021-01-03 2:00,54.23333333,230,0,50,220
2021-01-03 3:00,55.96666667,80,0,50,220
2021-01-03 4:00,53.06666667,55,0,50,220
2021-01-03 5:00,51.33333333,195,0,50,220
2021-01-03 6:00,50.56666667,240,0,50,220
2021-01-03 7:00,64.93333333,245,0,50,220
2021-01-03 8:00,53.2,110,100,75,280
2021-01-03 9:00,65.16666667,225,100,75,280
2021-01-03 10:00,52.86666667,170,100,75,280
2021-01-03 11:00,60.8,75,100,75,280
2021-01-03 12:00,60.83333333,165,100,75,280
2021-01-03 13:00,57.8,60,100,75,280
2021-01-03 14:00,56.56666667,5,100,75,280
2021-01-03 15:00,55.9,35,100,75,280
2021-01-03 16:00,60.83333333,170,100,75,280
2021-01-03 17:00,63.43333333,250,100,75,280
2021-01-03 18:00,61.73333333,95,100,50,280
2021-01-03 19:00,61.8,155,100,50,280
2021-01-03 20:00,51.86666667,75,100,50,280
2021-01-03 21:00,53.86666667,230,100,50,280
2021-01-03 22:00,51.9,65,100,50,280
2021-01-03 23:00,65.5,40,100,50,280
2021-01-04 0:00,53.16666667,70,0,50,220
2021-01-04 1:00,60,155,0,50,220
2021-01-04 2:00,61.03333333,15,0,50,220
2021-01-04 3:00,63.13333333,110,0,50,220
2021-01-04 4:00,59.33333333,40,0,50,220
2021-01-04 5:00,53.76666667,5,0,50,220
2021-01-04 6:00,51.86666667,90,0,50,220
2021-01-04 7:00,56.53333333,125,0,50,220
2021-01-04 8:00,50.46666667,215,100,75,280
2021-01-04 9:00,64.6,65,100,75,280
2021-01-04 10:00,62.46666667,175,100,75,280
2021-01-04 11:00,51.63333333,155,100,75,280
2021-01-04 12:00,51.96666667,45,100,75,280
2021-01-04 13:00,59.03333333,110,100,75,280
2021-01-04 14:00,57.16666667,125,100,75,280
2021-01-04 15:00,51.93333333,55,100,75,280
2021-01-04 16:00,53.9,185,100,75,280
2021-01-04 17:00,61.33333333,200,100,75,280
2021-01-04 18:00,55.66666667,215,100,50,280
2021-01-04 19:00,51.5,30,100,50,280
2021-01-04 20:00,61.16666667,200,100,50,280
2021-01-04 21:00,65.2,35,100,50,280
2021-01-04 22:00,51.66666667,220,100,50,280
2021-01-04 23:00,53.1,210,100,50,280
2021-01-05 0:00,65.76666667,70,0,50,220
2021-01-05 1:00,65.43333333,20,0,50,220
2021-01-05 2:00,54.93333333,200,0,50,220
2021-01-05 3:00,51.93333333,215,0,50,220
2021-01-05 4:00,52.23333333,230,0,50,220
2021-01-05 5:00,64.86666667,205,0,50,220
2021-01-05 6:00,62.1,230,0,50,220
2021-01-05 7:00,52.16666667,165,0,50,220
2021-01-05 8:00,60.63333333,240,100,75,280
2021-01-05 9:00,53.46666667,105,100,75,280
2021-01-05 10:00,50.5,215,100,75,280
2021-01-05 11:00,56.7,230,100,75,280
2021-01-05 12:00,57.13333333,175,100,75,280
2021-01-05 13:00,53.6,110,100,75,280
2021-01-05 14:00,66.2,250,100,75,280
2021-01-05 15:00,53.03333333,240,100,75,280
2021-01-05 16:00,52.5,75,100,75,280
2021-01-05 17:00,60.76666667,215,100,75,280
2021-01-05 18:00,54.43333333,215,100,50,280
2021-01-05 19:00,60.5,30,100,50,280
2021-01-05 20:00,61.76666667,235,100,50,280
2021-01-05 21:00,54.26666667,75,100,50,280
2021-01-05 22:00,51.26666667,20,100,50,280
2021-01-05 23:00,52.4,15,100,50,280
2021-01-06 0:00,57.43333333,80,0,50,220
2021-01-06 1:00,51.16666667,65,0,50,220
2021-01-06 2:00,51,175,0,50,220
2021-01-06 3:00,66.1,105,0,50,220
2021-01-06 4:00,51.4,85,0,50,220
2021-01-06 5:00,56.83333333,5,0,50,220
2021-01-06 6:00,64.1,140,0,50,220
2021-01-06 7:00,57.5,210,0,50,220
2021-01-06 8:00,57.5,30,100,75,280
2021-01-06 9:00,62.03333333,105,100,75,280
2021-01-06 10:00,58.3,170,100,75,280
2021-01-06 11:00,59.36666667,160,100,75,280
2021-01-06 12:00,55.26666667,145,100,75,280
2021-01-06 13:00,60,45,100,75,280
2021-01-06 14:00,60.53333333,235,100,75,280
2021-01-06 15:00,55.86666667,25,100,75,280
2021-01-06 16:00,66.43333333,115,100,75,280
2021-01-06 17:00,61.7,230,100,75,280
2021-01-06 18:00,58.03333333,45,100,50,280
2021-01-06 19:00,55.53333333,75,100,50,280
2021-01-06 20:00,59.63333333,130,100,50,280
2021-01-06 21:00,52.06666667,185,100,50,280
2021-01-06 22:00,52.83333333,105,100,50,280
2021-01-06 23:00,61.33333333,105,100,50,280
2021-01-07 0:00,63.8,95,0,50,220
2021-01-07 1:00,58.86666667,145,0,50,220
2021-01-07 2:00,62.86666667,35,0,50,220
2021-01-07 3:00,53.76666667,95,0,50,220
2021-01-07 4:00,63.36666667,85,0,50,220
2021-01-07 5:00,54.7,160,0,50,220
2021-01-07 6:00,53.3,40,0,50,220
2021-01-07 7:00,50.43333333,95,0,50,220
2021-01-07 8:00,53.36666667,55,100,75,280
2021-01-07 9:00,56.9,30,100,75,280
2021-01-07 10:00,59.2,200,100,75,280
2021-01-07 11:00,55.46666667,15,100,75,280
2021-01-07 12:00,50.5,20,100,75,280
2021-01-07 13:00,59.66666667,190,100,75,280
2021-01-07 14:00,57.6,100,100,75,280
2021-01-07 15:00,64,195,100,75,280
2021-01-07 16:00,52.96666667,15,100,75,280
2021-01-07 17:00,66.1,145,100,75,280
2021-01-07 18:00,60.26666667,235,100,50,280
2021-01-07 19:00,62.26666667,180,100,50,280
2021-01-07 20:00,57.96666667,50,100,50,280
2021-01-07 21:00,65.26666667,75,100,50,280
2021-01-07 22:00,56.7,190,100,50,280
2021-01-07 23:00,59.66666667,165,100,50,280
2021-01-08 0:00,60.86666667,70,0,50,220
2021-01-08 1:00,57.13333333,110,0,50,220
2021-01-08 2:00,57.46666667,200,0,50,220
2021-01-08 3:00,61.03333333,180,0,50,220
2021-01-08 4:00,57.96666667,105,0,50,220
2021-01-08 5:00,64.16666667,220,0,50,220
2021-01-08 6:00,62.86666667,65,0,50,220
2021-01-08 7:00,58.53333333,210,0,50,220
2021-01-08 8:00,58.43333333,100,100,75,280
2021-01-08 9:00,57.36666667,65,100,75,280
2021-01-08 10:00,52.3,135,100,75,280
2021-01-08 11:00,52.16666667,145,100,75,280
2021-01-08 12:00,65.66666667,240,100,75,280
2021-01-08 13:00,50.7,110,100,75,280
2021-01-08 14:00,61.63333333,180,100,75,280
2021-01-08 15:00,57.9,55,100,75,280
2021-01-08 16:00,55.46666667,115,100,75,280
2021-01-08 17:00,59.5,55,100,75,280
2021-01-08 18:00,53.86666667,20,100,50,280
2021-01-08 19:00,55.33333333,135,100,50,280
2021-01-08 20:00,66.2,40,100,50,280
2021-01-08 21:00,63.53333333,30,100,50,280
2021-01-08 22:00,56.13333333,170,100,50,280
2021-01-08 23:00,56.86666667,205,100,50,280
2021-01-09 0:00,57.16666667,225,0,50,220
2021-01-09 1:00,64,70,0,50,220
2021-01-09 2:00,55.9,200,0,50,220
2021-01-09 3:00,65.33333333,185,0,50,220
2021-01-09 4:00,57.36666667,50,0,50,220
2021-01-09 5:00,58.06666667,55,0,50,220
2021-01-09 6:00,56.2,20,0,50,220
2021-01-09 7:00,59.83333333,145,0,50,220
2021-01-09 8:00,63.4,20,100,75,280
2021-01-09 9:00,61.56666667,120,100,75,280
2021-01-09 10:00,52.16666667,100,100,75,280
2021-01-09 11:00,66.6,125,100,75,280
2021-01-09 12:00,53.33333333,250,100,75,280
2021-01-09 13:00,66.6,155,100,75,280
2021-01-09 14:00,50.96666667,250,100,75,280
2021-01-09 15:00,58.46666667,0,100,75,280
2021-01-09 16:00,60.53333333,40,100,75,280
2021-01-09 17:00,50.4,100,100,75,280
2021-01-09 18:00,61.26666667,85,100,50,280
2021-01-09 19:00,53.86666667,225,100,50,280
2021-01-09 20:00,63.1,65,100,50,280
2021-01-09 21:00,60.96666667,200,100,50,280
2021-01-09 22:00,61.43333333,40,100,50,280
2021-01-09 23:00,54.8,220,100,50,280
2021-01-10 0:00,50.96666667,50,0,50,220
2021-01-10 1:00,52.13333333,40,0,50,220
2021-01-10 2:00,53.63333333,70,0,50,220
2021-01-10 3:00,64.5,20,0,50,220
2021-01-10 4:00,56.1,225,0,50,220
2021-01-10 5:00,62.33333333,225,0,50,220
2021-01-10 6:00,56.53333333,145,0,50,220
2021-01-10 7:00,59.26666667,25,0,50,220
2021-01-10 8:00,56.46666667,20,100,75,280
2021-01-10 9:00,61.76666667,85,100,75,280
2021-01-10 10:00,66.33333333,180,100,75,280
2021-01-10 11:00,63.13333333,120,100,75,280
2021-01-10 12:00,54.9,225,100,75,280
2021-01-10 13:00,56.86666667,205,100,75,280
2021-01-10 14:00,64.43333333,125,100,75,280
2021-01-10 15:00,55.63333333,200,100,75,280
2021-01-10 16:00,51.2,45,100,75,280
2021-01-10 17:00,51.46666667,195,100,75,280
2021-01-10 18:00,52.3,220,100,50,280
2021-01-10 19:00,54.76666667,180,100,50,280
2021-01-10 20:00,65.43333333,130,100,50,280
2021-01-10 21:00,50.2,135,100,50,280
2021-01-10 22:00,51.33333333,55,100,50,280
2021-01-10 23:00,65.8,215,100,50,280
2021-01-11 0:00,55.46666667,235,0,50,220
2021-01-11 1:00,50.2,65,0,50,220
2021-01-11 2:00,52.73333333,165,0,50,220
2021-01-11 3:00,54.66666667,220,0,50,220
2021-01-11 4:00,62.43333333,70,0,50,220
2021-01-11 5:00,61.73333333,45,0,50,220
2021-01-11 6:00,53.86666667,200,0,50,220
2021-01-11 7:00,59.1,175,0,50,220
2021-01-11 8:00,60.36666667,70,100,75,280
2021-01-11 9:00,52.53333333,110,100,75,280
2021-01-11 10:00,51.83333333,130,100,75,280
2021-01-11 11:00,60.26666667,55,100,75,280
2021-01-11 12:00,57.8,55,100,75,280
2021-01-11 13:00,51.66666667,25,100,75,280
2021-01-11 14:00,53.93333333,220,100,75,280
2021-01-11 15:00,53.03333333,185,100,75,280
2021-01-11 16:00,63.4,175,100,75,280
2021-01-11 17:00,58,90,100,75,280
2021-01-11 18:00,63.96666667,65,100,50,280
2021-01-11 19:00,63.8,145,100,50,280
2021-01-11 20:00,52.86666667,225,100,50,280
2021-01-11 21:00,52.46666667,175,100,50,280
2021-01-11 22:00,65.96666667,85,100,50,280
2021-01-11 23:00,65,125,100,50,280
2021-01-12 0:00,60.76666667,170,0,50,220
2021-01-12 1:00,57.63333333,210,0,50,220
2021-01-12 2:00,58.63333333,160,0,50,220
2021-01-12 3:00,51.4,10,0,50,220
2021-01-12 4:00,50.76666667,220,0,50,220
2021-01-12 5:00,61.4,125,0,50,220
2021-01-12 6:00,52.76666667,170,0,50,220
2021-01-12 7:00,58.43333333,235,0,50,220
2021-01-12 8:00,61.46666667,250,100,75,280
2021-01-12 9:00,51.76666667,210,100,75,280
2021-01-12 10:00,55.3,100,100,75,280
2021-01-12 11:00,55.06666667,190,100,75,280
2021-01-12 12:00,52.3,20,100,75,280
2021-01-12 13:00,58.76666667,180,100,75,280
2021-01-12 14:00,54.43333333,240,100,75,280
2021-01-12 15:00,51.2,195,100,75,280
2021-01-12 16:00,51.33333333,205,100,75,280
2021-01-12 17:00,65.7,240,100,75,280
2021-01-12 18:00,53.46666667,25,100,50,280
2021-01-12 19:00,64.43333333,85,100,50,280
2021-01-12 20:00,59.36666667,25,100,50,280
2021-01-12 21:00,56.36666667,170,100,50,280
2021-01-12 22:00,55.66666667,160,100,50,280
2021-01-12 23:00,50.96666667,90,100,50,280
2021-01-13 0:00,61.23333333,225,0,50,220
2021-01-13 1:00,65.86666667,230,0,50,220
2021-01-13 2:00,50.6,125,0,50,220
2021-01-13 3:00,59.63333333,190,0,50,220
2021-01-13 4:00,56.7,35,0,50,220
2021-01-13 5:00,62.66666667,195,0,50,220
2021-01-13 6:00,56.03333333,95,0,50,220
2021-01-13 7:00,60,145,0,50,220
2021-01-13 8:00,56.23333333,205,100,75,280
2021-01-13 9:00,63.16666667,235,100,75,280
2021-01-13 10:00,53.1,130,100,75,280
2021-01-13 11:00,58.4,105,100,75,280
2021-01-13 12:00,64.9,30,100,75,280
2021-01-13 13:00,57.03333333,140,100,75,280
2021-01-13 14:00,52.4,165,100,75,280
2021-01-13 15:00,59.83333333,0,100,75,280
2021-01-13 16:00,61.3,55,100,75,280
2021-01-13 17:00,66.06666667,105,100,75,280
2021-01-13 18:00,53.63333333,50,100,50,280
2021-01-13 19:00,56.63333333,190,100,50,280
2021-01-13 20:00,60,30,100,50,280
2021-01-13 21:00,54.03333333,205,100,50,280
2021-01-13 22:00,52.5,230,100,50,280
2021-01-13 23:00,55.16666667,110,100,50,280
2021-01-14 0:00,52.1,85,0,50,220
2021-01-14 1:00,61.5,55,0,50,220
2021-01-14 2:00,53.16666667,165,0,50,220
2021-01-14 3:00,51.96666667,175,0,50,220
2021-01-14 4:00,59,100,0,50,220
2021-01-14 5:00,53.36666667,215,0,50,220
2021-01-14 6:00,64.43333333,155,0,50,220
2021-01-14 7:00,61.66666667,25,0,50,220
2021-01-14 8:00,58.63333333,230,100,75,280
2021-01-14 9:00,63.4,65,100,75,280
2021-01-14 10:00,60.76666667,180,100,75,280
2021-01-14 11:00,50.66666667,10,100,75,280
2021-01-14 12:00,66.06666667,175,100,75,280
2021-01-14 13:00,61.63333333,175,100,75,280
2021-01-14 14:00,61.9,205,100,75,280
2021-01-14 15:00,59.93333333,85,100,75,280
2021-01-14 16:00,64.36666667,145,100,75,280
2021-01-14 17:00,50.26666667,200,100,75,280
2021-01-14 18:00,65.66666667,95,100,50,280
2021-01-14 19:00,50.7,40,100,50,280
2021-01-14 20:00,56.13333333,240,100,50,280
2021-01-14 21:00,62.96666667,80,100,50,280
2021-01-14 22:00,50.83333333,200,100,50,280
2021-01-14 23:00,64.46666667,170,100,50,280
2021-01-15 0:00,52.1,65,0,50,220
2021-01-15 1:00,61.53333333,10,0,50,220
2021-01-15 2:00,61.3,175,0,50,220
2021-01-15 3:00,54.6,95,0,50,220
2021-01-15 4:00,66.56666667,75,0,50,220
2021-01-15 5:00,54.43333333,100,0,50,220
2021-01-15 6:00,55.3,30,0,50,220
2021-01-15 7:00,57.76666667,170,0,50,220
2021-01-15 8:00,59.83333333,225,100,75,280
2021-01-15 9:00,50.9,75,100,75,280
2021-01-15 10:00,63.8,110,100,75,280
2021-01-15 11:00,55.33333333,115,100,75,280
2021-01-15 12:00,64.66666667,80,100,75,280
2021-01-15 13:00,63.33333333,55,100,75,280
